symbol,log2FoldChange,padj,HZ_sig,D14,D60,D74,D365
CCR7,0.156,0.302,ns,0.717,1.123,0.267,-0.121
CD38,0.52,0.0,***,6.593,3.675,3.278,0.143
CXCR3,0.65,0.004,**,-0.655,-0.369,-0.261,-0.555
GNLY,0.131,0.405,ns,-2.364,2.394,3.02,3.218
GZMA,0.678,0.0,***,2.666,0.861,3.674,1.713
ICOS,0.094,0.619,ns,1.268,0.852,1.207,0.574
IFI27,1.225,0.047,*,2.034,2.86,-2.286,0.138
IFI44,0.723,0.136,ns,-1.002,-0.675,-1.69,-0.008
IFI44L,1.092,0.05,*,-2.114,-0.335,-0.449,-0.271
IFIT5,0.854,0.001,***,-0.891,-0.076,-0.966,-0.118
IL7R,0.124,0.361,ns,-1.204,-0.482,-0.762,-1.008
IRF4,0.313,0.112,ns,0.558,0.631,0.783,0.051
ISG15,1.078,0.004,**,0.138,0.243,-0.361,-0.093
MKI67,0.995,0.0,***,4.008,0.399,2.03,-0.508
MX1,0.696,0.063,ns,-0.29,0.188,-0.493,0.101
MZB1,1.194,0.0,***,-0.784,-1.174,1.093,0.418
OASL,0.572,0.097,ns,0.05,0.162,-0.767,0.968
PRF1,0.138,0.514,ns,0.499,-0.768,1.096,1.363
PTTG1,1.738,0.0,***,0.475,-0.732,0.2,0.765
RSAD2,1.007,0.033,*,-1.998,0.631,-1.98,-0.143
TCF7,0.123,0.388,ns,0.462,0.574,0.21,-0.073
TNFRSF9,-0.256,0.211,ns,0.127,-0.356,0.501,0.991
TOP2A,1.248,0.0,***,7.055,4.008,5.919,1.028
ZEB2,-0.176,0.175,ns,3.231,2.617,3.64,3.08
